binary,complex
"[0, 0, 0, 1]",(-2.8607549809455275-0.590649621855492j)
"[0, 0, 1, 1]",(-2.8561827549666563+1.3891656482937371j)
"[0, 1, 1, 1]",(-1.0347381617922522+1.6546725661397832j)
"[0, 1, 1, 1]",(-0.96973156577729+0.5341323749412792j)
"[1, 0, 0, 0]",(2.9213214543579302-2.891477332997658j)
"[1, 0, 1, 1]",(3.517855828051259+0.6195078064866766j)
"[1, 1, 0, 1]",(0.8197077106134854-0.7111615697658189j)
"[1, 0, 1, 1]",(3.4433737427914566+0.4278262757043716j)
"[0, 0, 1, 1]",(-3.3222599580625753+1.9327961911031255j)
"[0, 1, 0, 0]",(-0.8838463518886106-2.9298871051548216j)
"[1, 0, 1, 1]",(3.0547023079856084+1.781567171406459j)
"[0, 1, 0, 0]",(-1.3770348369037684-2.500605846878227j)
"[0, 1, 1, 1]",(-0.7879210902851099+1.3206999312342396j)
"[1, 0, 1, 1]",(3.023157685966968+1.0875683675969277j)
"[0, 0, 0, 0]",(-3.1282417138647007-3.7464163826252195j)
"[1, 0, 0, 0]",(2.2182256356291465-2.8378019118945046j)
"[1, 0, 0, 0]",(2.6777214571383596-2.642368348624339j)
"[1, 0, 0, 1]",(2.708423452050234-0.4385676379160084j)
"[0, 1, 1, 0]",(-0.9494067197073841+2.8843856582231626j)
"[1, 1, 1, 0]",(1.0977713796932445+2.762876241076824j)
"[0, 1, 0, 0]",(-0.7563171309919804-3.155373653279955j)
"[1, 1, 0, 0]",(0.5217111030843189-3.7914486841964585j)
"[0, 0, 0, 1]",(-2.587258502469025-1.5190213146322455j)
"[0, 1, 0, 0]",(-0.4449346691763768-3.514336591272934j)
"[0, 1, 0, 0]",(-1.019639596405666-3.181172188427209j)
"[1, 0, 1, 1]",(2.8782463650575467+0.9488331920149673j)
"[1, 1, 0, 1]",(0.9763179759160989-0.9426388559191181j)
"[0, 0, 1, 0]",(-2.984745861547195+3.46092455895279j)
"[0, 1, 1, 1]",(-1.0272431392055434+1.0403495345656704j)
"[0, 0, 1, 1]",(-3.0686077572151427+1.0962540140324066j)
"[1, 1, 1, 1]",(0.4378671543063406+1.2694489368104445j)
"[0, 1, 1, 0]",(-1.1902790336205749+2.76024011764346j)
"[1, 0, 0, 1]",(3.050293996604301-1.2828255607159607j)
"[1, 0, 1, 0]",(2.3999968485476257+2.837786782541383j)
"[0, 1, 0, 0]",(-1.5359669299021532-2.556172148082649j)
"[0, 1, 0, 0]",(-1.457850085124639-2.6920409413759585j)
"[0, 0, 1, 1]",(-3.3909121505878277+0.781851194435386j)
"[1, 1, 0, 0]",(1.3636774561714704-2.788933362758011j)
"[0, 0, 0, 1]",(-2.8070951422758736-0.8664750846589316j)
"[1, 0, 1, 0]",(3.2983645747541734+3.23676326168579j)
"[1, 1, 0, 1]",(1.5786004467713646-0.6901952937471109j)
"[0, 0, 1, 0]",(-3.175004512081232+3.189595174241518j)
"[1, 0, 0, 0]",(2.852073234554205-3.1089730329750074j)
"[1, 0, 0, 1]",(2.5846639893196555-0.8652744373160148j)
"[1, 0, 1, 1]",(3.0175896745599107+1.6272712557949882j)
"[0, 0, 0, 0]",(-2.0915797606832434-3.1091704817919745j)
"[0, 1, 0, 0]",(-1.391183105631165-3.1464140009163675j)
"[0, 0, 0, 0]",(-3.262604794327496-2.924541256509499j)
"[1, 0, 1, 0]",(3.097157197883848+3.1925933295680555j)
"[0, 0, 1, 0]",(-2.3290052509675387+3.355962362380574j)
"[1, 1, 0, 0]",(0.9569310254274979-3.1495459088390234j)
"[0, 0, 0, 1]",(-2.9765468170705613-0.8997213937069841j)
"[1, 1, 0, 1]",(1.209497697932624-1.7394628284611515j)
"[1, 1, 1, 0]",(0.9911644316907238+3.3074038426879127j)
"[0, 0, 1, 0]",(-2.6744637329178538+2.9847740160427847j)
"[0, 0, 1, 1]",(-3.3361670261876375+1.4198653764539941j)
"[1, 1, 1, 0]",(1.3376829447345733+3.132105918463138j)
"[0, 1, 0, 1]",(-0.9551691717013127-1.409966493443144j)
"[1, 1, 1, 1]",(1.0197886756789747+1.6928336399465176j)
"[0, 1, 0, 0]",(-0.0737047622231306-2.8369304557979347j)
"[1, 1, 0, 1]",(1.1048550347255663-0.7338346484539122j)
"[0, 0, 1, 1]",(-2.8889816945991855+1.2793022745211573j)
"[0, 0, 1, 0]",(-2.9311978013190787+3.5580519758531572j)
"[1, 1, 0, 1]",(1.3103826745522906-0.39528344314067076j)
"[0, 1, 0, 0]",(-1.1813023388820252-3.3209781735118744j)
"[0, 0, 1, 1]",(-3.0617971805044237+0.7421644527516513j)
"[1, 1, 0, 1]",(0.5911158357119948-1.3390413123200506j)
"[0, 0, 0, 0]",(-3.5347881624421262-2.9751624186909567j)
"[1, 0, 1, 0]",(3.3257627572141875+2.6744648511721953j)
"[0, 1, 0, 0]",(-0.8465645406479906-2.5447846968223464j)
"[1, 1, 0, 1]",(1.1797345043072789-1.1881289865383182j)
"[1, 1, 0, 0]",(0.503858404303728-2.383954625602649j)
"[1, 1, 1, 1]",(0.8512491214382757+1.0164321548497002j)
"[1, 0, 1, 0]",(2.637404117250138+3.9929891514584983j)
"[0, 0, 0, 0]",(-3.5970899990129843-2.5636426095371836j)
"[0, 1, 0, 1]",(-0.8699391087524144-1.4920137820285118j)
"[0, 1, 1, 1]",(-0.5515083610651828+1.0959339121371134j)
"[0, 1, 0, 0]",(-0.717154707863972-3.3322713829388335j)
"[1, 0, 0, 1]",(3.3482906128425785-0.8643895548473458j)
"[0, 1, 0, 0]",(-1.229796235703568-2.8240221101123146j)
"[0, 0, 1, 1]",(-2.6902082863322496+0.6783400767706711j)
"[1, 1, 0, 0]",(1.291876882425349-3.1914881990686648j)
"[1, 0, 1, 0]",(2.6115186903907763+3.363161890795502j)
"[0, 1, 0, 1]",(-1.1466081734643563-0.8410086020897034j)
"[0, 0, 0, 0]",(-2.3682458034115172-2.519803868979937j)
"[0, 0, 1, 0]",(-3.7485966990560238+2.531916803519196j)
"[0, 1, 1, 0]",(-0.9268656821581992+3.3150804300468377j)
"[0, 1, 1, 1]",(-0.4806936133045684+1.1063668187381608j)
"[0, 0, 0, 1]",(-3.2230998752913154-0.8690400662763814j)
"[0, 0, 1, 1]",(-3.2633217641094263+0.7022984872487816j)
"[0, 1, 0, 1]",(-0.7334174981188486-1.4028890349181742j)
"[0, 1, 1, 0]",(-0.4790546316234169+3.438888673120365j)
"[1, 1, 0, 0]",(1.0302255645907614-3.355863711455688j)
"[1, 0, 1, 1]",(1.9697787927256498+1.1397990253168326j)
"[1, 1, 0, 1]",(0.41734214668432645-1.4154517899627588j)
"[0, 0, 1, 1]",(-2.563303823816798+0.30840882472278597j)
"[1, 1, 0, 0]",(1.1167675719522554-3.675388492126909j)
"[0, 0, 1, 0]",(-2.9146632050123213+3.364184265711925j)
"[0, 0, 0, 0]",(-2.765889055109344-3.592076312268068j)
"[1, 0, 0, 0]",(2.9950019849756377-3.0145028691256694j)
"[1, 1, 0, 1]",(0.5259759476848975-1.9656431255592581j)
"[1, 1, 1, 1]",(0.9274461389638468+0.12130584069330963j)
"[0, 0, 1, 0]",(-3.2127690633925523+2.952467869307582j)
"[1, 1, 1, 1]",(0.7802455335929366+1.2351183341622032j)
"[0, 1, 1, 1]",(-0.8119234487132941+0.672570184015454j)
"[1, 0, 0, 0]",(2.340101730729036-2.499871106111056j)
"[1, 1, 1, 1]",(0.9380939505773292+1.2052387120327792j)
"[0, 1, 0, 1]",(-1.2382401084754084-1.1696860142930445j)
"[0, 1, 1, 0]",(-0.577775821685646+2.6971345193646927j)
"[1, 1, 1, 0]",(0.33110345656556184+2.65925784685184j)
"[1, 1, 1, 0]",(0.49350441546161883+3.195367997125851j)
"[0, 0, 0, 0]",(-2.704667368420685-2.4972764057478516j)
"[0, 0, 1, 1]",(-3.357045610284835+0.9999854965762333j)
"[1, 0, 0, 0]",(3.0330920085300304-2.943701716559597j)
"[1, 0, 1, 0]",(2.751785974055922+2.3947300419252824j)
"[1, 1, 1, 1]",(1.1469496034794495+1.373614438470287j)
"[1, 1, 1, 1]",(0.5999743112767174+0.7108517152591081j)
"[1, 1, 0, 0]",(0.5448838086319421-2.8689747430645705j)
"[0, 0, 0, 0]",(-2.8436298320104045-2.2248826834877335j)
"[1, 1, 0, 1]",(1.247429912764642-1.1999900810107869j)
"[0, 0, 0, 1]",(-2.7778260968626696-1.027274096810263j)
"[0, 0, 1, 0]",(-3.259656706594561+2.9244953413136208j)
"[1, 1, 1, 1]",(0.7722969638356111+1.2201704933744462j)
"[1, 1, 1, 1]",(0.47289808130619726+1.2069733841367136j)
"[1, 0, 0, 1]",(2.891219380546148-1.0256012023047392j)
"[1, 1, 0, 0]",(1.1481895240302875-3.0877875498730565j)
"[0, 0, 0, 0]",(-3.354130724819481-3.2161146786862993j)
"[0, 0, 0, 1]",(-3.1381064244843984-0.49100222656302017j)
"[0, 0, 0, 0]",(-4.085338053900972-3.2908901074636647j)
"[0, 1, 0, 1]",(0.37019801256760676-1.087142401642886j)
"[0, 1, 0, 0]",(-1.713307013507614-2.6980122417352987j)
"[0, 0, 1, 1]",(-3.2845319259615113+1.1535707592764477j)
"[0, 1, 0, 0]",(-0.5824517269414253-2.6720482415795637j)
"[1, 1, 0, 1]",(1.097230318780857-0.6257805247933672j)
"[1, 0, 0, 0]",(2.225088618678534-2.312043492117736j)
"[0, 0, 1, 1]",(-3.172332670390245+1.0459757602141586j)
"[1, 1, 1, 1]",(1.512665271624819+0.9071761820930482j)
"[1, 0, 1, 0]",(2.915235257806198+3.175182894971458j)
"[1, 1, 1, 0]",(1.8220604581609963+2.937658747774928j)
"[1, 0, 1, 1]",(3.3772367217750174+1.2043475969948083j)
"[1, 0, 1, 1]",(2.867371996182872+0.9147909368906331j)
"[0, 0, 0, 1]",(-3.233990818545083-0.772828783212014j)
"[1, 1, 1, 0]",(1.025261123726418+3.1582779508277556j)
"[1, 1, 1, 0]",(1.5454103326241961+3.1709156401223866j)
"[1, 1, 1, 1]",(0.8759376351321991+0.19173556681209625j)
"[1, 0, 1, 0]",(2.913944514202766+2.6526680367280955j)
"[0, 0, 0, 1]",(-3.869018733895219-0.34068030612706546j)
"[1, 1, 0, 0]",(0.5429939641793946-2.265295249926511j)
"[0, 0, 1, 1]",(-3.0860702502921495+0.6480334025759988j)
"[0, 0, 0, 0]",(-3.15199277126527-2.945750473057727j)
"[1, 0, 0, 1]",(3.423383905166702-0.5217768950322024j)
"[0, 1, 0, 1]",(-0.9653846120966519-0.5119753519827139j)
"[1, 1, 1, 1]",(0.35582281393177884+1.1578119751573743j)
"[1, 1, 0, 1]",(0.7033413275625469-0.9735266749704848j)
"[0, 1, 0, 0]",(-1.6838211368404385-1.8897065624027705j)
"[1, 0, 1, 0]",(3.52261668566813+2.7769886055845507j)
"[0, 0, 1, 1]",(-3.238673175022474+0.7448441988573429j)
"[0, 0, 1, 1]",(-2.6850115076621144+0.9912181262151671j)
"[1, 0, 1, 1]",(2.291750871966588+0.9104346861518962j)
"[0, 1, 0, 0]",(-1.5174277019100018-3.1575990601509827j)
"[1, 0, 1, 0]",(2.949191061639505+3.2992003029835995j)
"[0, 0, 1, 0]",(-3.282042758553298+3.372571617252737j)
"[1, 0, 0, 1]",(2.1187745864289935-0.12630387450665126j)
"[0, 1, 1, 0]",(-1.013735401009295+3.158723028334342j)
"[0, 0, 0, 0]",(-3.309948207408865-2.8064406417240306j)
"[0, 0, 1, 0]",(-3.0083777054381233+2.5810792042916813j)
"[1, 0, 1, 1]",(2.7017952554395404+1.0474505918937471j)
"[0, 1, 1, 0]",(-0.42036580988097294+2.650542674534832j)
"[0, 1, 0, 1]",(-1.3505443433872482-0.6008530290388167j)
"[1, 0, 1, 0]",(3.4443966552653627+2.72754951067273j)
"[1, 1, 1, 1]",(1.4131127591319113+1.4710251305169235j)
"[0, 1, 0, 0]",(-1.1536453060209713-3.002707365034581j)
"[0, 0, 0, 0]",(-3.466504524744933-2.162212625900625j)
"[0, 0, 0, 0]",(-3.2430547601759345-3.455503615489341j)
"[0, 1, 0, 1]",(-1.1204409390438408-0.779784589407351j)
"[1, 1, 0, 0]",(0.9863736960775326-3.1050107697698826j)
"[0, 1, 1, 1]",(-0.8776368457316983+0.9900565705893316j)
"[1, 0, 0, 1]",(3.653683861764161-1.1814938246109714j)
"[1, 0, 1, 1]",(3.9158295193068087+0.8145745094176752j)
"[0, 1, 1, 0]",(-1.1328313026339139+3.7970029079224075j)
"[1, 1, 1, 1]",(0.5240679937070121+1.536435353491746j)
"[0, 1, 0, 1]",(-1.410224207165858-0.852328184411981j)
"[0, 0, 0, 1]",(-2.4304747455196236-0.9132255414469093j)
"[1, 0, 0, 1]",(3.252772245871236-1.1271002302482065j)
"[0, 0, 1, 0]",(-3.0930390160058026+3.0489600767427385j)
"[1, 0, 0, 0]",(3.2920281005685452-2.9107030418088886j)
"[1, 1, 0, 1]",(0.8562269806981433-1.2606491010593357j)
"[0, 1, 0, 0]",(-0.6883872384839478-2.551947324569832j)
"[0, 0, 0, 0]",(-3.1813547969933076-3.3875837300600873j)
"[0, 0, 1, 1]",(-2.5105311884884265+1.0569785519419859j)
"[0, 1, 0, 0]",(-1.6617091308010647-3.059218753862704j)
"[1, 1, 1, 0]",(0.9158936790339902+3.17293462681378j)
"[1, 1, 0, 1]",(0.41551262102515696-1.4348593364466997j)
"[1, 1, 0, 1]",(1.449358673719312-0.23179279144153742j)
"[1, 0, 0, 0]",(2.7901745859579576-2.594378717403313j)
"[1, 0, 0, 0]",(3.240587927624383-3.343323174718926j)
"[0, 1, 0, 1]",(-0.9095286505319234-1.7102155752072457j)
"[1, 1, 0, 1]",(1.483654981344728-1.5602242934988748j)
"[0, 1, 0, 0]",(-1.5299267276698891-3.289836020275693j)
"[0, 0, 0, 0]",(-2.6498026042477436-2.6603371162728333j)
"[0, 1, 1, 1]",(-0.8229634128176314+0.308077428054522j)
"[0, 1, 1, 1]",(-1.1303419495978555+0.451591693690801j)
"[1, 1, 1, 1]",(1.5202095022171216+1.1823771209125356j)
"[1, 0, 1, 1]",(3.0166664122322566+0.9350556019389791j)
"[0, 0, 1, 0]",(-2.7539022382652116+2.848721895922416j)
"[1, 1, 1, 1]",(1.2061591820586246+0.2433466332631633j)
"[1, 0, 0, 0]",(2.4519093952943907-3.3006767513636897j)
"[1, 0, 0, 0]",(2.7295247151049136-3.4744430839592773j)
"[1, 0, 0, 0]",(3.581026244576888-3.226702434534237j)
"[0, 1, 0, 0]",(-1.1326375023191697-2.912885163262927j)
"[1, 1, 1, 1]",(0.6663535069068063+0.9718578439003633j)
"[1, 0, 0, 1]",(2.972785431640545-1.618897281163295j)
"[1, 1, 1, 1]",(1.5289878877104677+1.719478103762389j)
"[0, 0, 1, 1]",(-2.8251206576652943+0.902720350703405j)
"[1, 0, 0, 0]",(3.5628311016767737-3.1229582469016086j)
"[0, 0, 0, 0]",(-3.377170354354348-2.560090642824243j)
"[0, 1, 1, 0]",(-1.159058577772718+2.532629138175314j)
"[1, 1, 0, 0]",(1.4453288020075958-3.0822323739246946j)
"[0, 0, 0, 0]",(-3.3104261718493-2.990052399768499j)
"[1, 1, 1, 0]",(0.8966500430697028+2.3130876198172152j)
"[0, 1, 0, 0]",(-1.1734298312929186-2.9255491489742913j)
"[0, 1, 0, 0]",(-1.674312348390807-2.7563822433648286j)
"[0, 1, 0, 1]",(-1.1580033225884958-1.0910025589428969j)
"[1, 1, 0, 0]",(1.3109846799727205-3.163828994642029j)
"[1, 0, 1, 0]",(3.0519352132256827+2.833705703873758j)
"[1, 1, 1, 1]",(0.9339791319179656+0.9346509207192256j)
"[0, 0, 0, 1]",(-3.213511082645242-0.777796359468428j)
"[0, 1, 1, 1]",(-0.9968513584181853+1.4561594547678256j)
"[1, 1, 0, 0]",(1.1891903140468019-3.3578036550936665j)
"[1, 1, 0, 1]",(1.3793564657515989-0.6673393488009526j)
"[0, 1, 0, 0]",(-0.8119453156186891-3.420152182500341j)
"[0, 1, 0, 0]",(-1.4486665278536242-2.5754252031953797j)
"[1, 1, 0, 1]",(1.890888001874547-0.47943316536210046j)
"[0, 0, 0, 1]",(-2.728027717452559-1.6923344428602936j)
"[1, 1, 0, 0]",(1.4530379145664605-3.123103049679239j)
"[0, 0, 1, 0]",(-3.9595909469855144+3.223724322470285j)
"[0, 1, 1, 1]",(-0.6843353763059763+0.7381695655251622j)
"[0, 1, 0, 1]",(-0.8015464515466373-1.053977921663349j)
"[0, 1, 1, 0]",(-1.160538478393106+2.75527326374137j)
"[0, 1, 1, 1]",(-1.1512759857972545+1.001711132069762j)
"[1, 1, 0, 1]",(1.2650718791295041-0.05452822033053528j)
"[0, 1, 1, 1]",(-1.522794789541343+1.1064721119271865j)
"[1, 0, 0, 0]",(3.3902660584073674-2.38418413252092j)
"[0, 0, 1, 0]",(-2.2236720292788057+2.4792741394742785j)
"[0, 1, 1, 1]",(-1.9997569771028703+1.134841178427985j)
"[1, 0, 0, 1]",(3.6133256134107934-0.728017126951277j)
"[0, 1, 1, 1]",(-1.1307155553638744+1.3583444649475747j)
"[0, 1, 1, 1]",(-1.1929254952585262+0.9948933218328477j)
"[1, 0, 0, 1]",(2.7931202383699096-1.1253717450456895j)
"[0, 1, 1, 0]",(-0.5047159844161448+2.443248924828048j)
"[1, 0, 0, 1]",(3.0217095831937373-1.116074855429284j)
"[1, 0, 0, 0]",(2.9233680884434436-2.653500960349534j)
"[0, 0, 0, 0]",(-3.0771231875022136-3.216280496851156j)
"[0, 0, 1, 1]",(-2.942626420590467+1.348712688488304j)
"[0, 1, 0, 0]",(-1.6322847602535784-2.9183570297005486j)
"[1, 1, 0, 0]",(1.0580692328050694-3.1538399885673605j)
"[0, 1, 1, 0]",(-0.33816014738386857+3.1461836717094758j)
"[0, 1, 0, 1]",(-1.4137634331594637-1.31023382533567j)
"[0, 0, 1, 1]",(-3.4732556565774537+1.4385723998100406j)
"[1, 0, 0, 1]",(2.906483123797233-0.8363736287759606j)
"[1, 1, 0, 1]",(1.1583407671743355-1.3210112030972043j)
"[1, 1, 1, 0]",(0.4325348265338922+3.1112608797869625j)
"[0, 1, 1, 0]",(-1.3055684761625905+3.191170836582153j)
"[0, 1, 0, 1]",(-1.120920267476129-0.584625960027209j)
"[0, 1, 1, 1]",(-0.9280954270987191+1.4717143061315907j)
"[1, 0, 0, 1]",(3.3052172181067734-0.77412682525925j)
"[1, 0, 1, 1]",(2.7953058091992236+1.0723409690960604j)
"[1, 0, 0, 1]",(2.982747921720886-1.145237326466299j)
"[0, 1, 0, 1]",(-1.1389385789851276+0.07878399585953155j)
"[0, 0, 0, 1]",(-2.986207413889887-0.9492228284066431j)
"[0, 1, 0, 1]",(-1.5742810235747071-0.869641918305214j)
"[1, 1, 0, 1]",(1.4726312696304666-1.2609345028756451j)
"[1, 1, 0, 1]",(1.341445893264609-1.4697700380055074j)
"[0, 0, 1, 1]",(-3.459003964991077+0.14946491987906785j)
"[0, 0, 1, 1]",(-2.9943819697940217+0.7328204434320708j)
"[1, 0, 1, 1]",(3.2876070808838027+0.7027258085074664j)
"[1, 1, 1, 0]",(0.8036295792926302+2.6987202866482143j)
"[0, 1, 0, 0]",(-1.401669524536532-3.4424339233551984j)
"[0, 1, 0, 0]",(-1.6580790073062597-3.027853028893265j)
"[1, 1, 0, 1]",(0.7066433431669623-1.3772943391794958j)
"[1, 1, 0, 1]",(0.4478181764557634-1.639797529455378j)
"[0, 0, 0, 0]",(-4.089820277635971-2.7950326587245455j)
"[0, 1, 1, 1]",(-0.48743665972973893+0.7594487084512338j)
"[0, 0, 0, 0]",(-3.0627090508683237-2.9925081407112137j)
"[1, 0, 0, 1]",(3.709878890062863-0.4906457322643297j)
"[1, 0, 0, 1]",(2.9815332070283285-1.1559310553151607j)
"[1, 0, 1, 1]",(3.6971431941520247+0.876702776199276j)
"[0, 1, 0, 0]",(-0.7082975721094056-3.3180964130374755j)
"[0, 1, 0, 1]",(-1.7332543422286273-0.4267438177323405j)
"[0, 1, 1, 0]",(-1.2345398246515518+3.068883430491002j)
"[1, 1, 0, 1]",(1.1777877229431242-1.2986792160010077j)
"[0, 0, 1, 0]",(-2.183570790978993+2.236416887338304j)
"[0, 0, 0, 0]",(-3.249947086757489-2.9165621964377544j)
"[0, 0, 1, 1]",(-2.6765994974330263+1.8893950050799537j)
"[0, 0, 1, 1]",(-3.637991610456989+1.5370460440161424j)
"[0, 1, 0, 0]",(-1.3406583139549935-2.273410550307094j)
"[1, 0, 0, 0]",(2.777859353862291-2.841077059352794j)
"[0, 0, 0, 1]",(-2.8422879236526377-1.0663777406850825j)
"[1, 0, 1, 0]",(3.077874052868663+3.8136571115921583j)
"[1, 0, 0, 0]",(3.343073068493593-3.116699959026619j)
"[0, 0, 0, 1]",(-3.144117672784888-0.483177975822887j)
"[0, 1, 0, 1]",(-1.0408627414959428-1.4037546466982227j)
"[0, 0, 1, 0]",(-2.7508512252888444+3.0428524586095116j)
"[0, 1, 0, 1]",(-0.3507129329545762-0.8874749073580682j)
"[0, 1, 0, 1]",(-1.1768171100423241-1.1664834443853018j)
"[1, 1, 0, 0]",(0.74573840197638-2.78296760997672j)
"[0, 1, 0, 0]",(-1.5316249947151945-2.7593971057469733j)
"[1, 1, 0, 1]",(0.640835253894942-0.39273538825176224j)
"[1, 1, 1, 0]",(1.1274110859864246+3.242884629154334j)
"[0, 1, 1, 0]",(-0.8582501187594931+3.6451863521332806j)
"[1, 1, 0, 1]",(0.2481584426871004-0.6855833774304487j)
"[1, 0, 0, 0]",(3.005908931394424-3.2900169292929142j)
"[0, 0, 0, 1]",(-2.97070016512117-0.9562691135541355j)
"[1, 1, 1, 0]",(1.1863141352753412+2.5024602257308817j)
"[1, 1, 1, 1]",(0.520889453181419+0.10403187328772201j)
"[0, 1, 1, 1]",(-0.936407672272557+0.3372087663280334j)
"[0, 0, 1, 0]",(-3.486720481491679+2.9422015499901097j)
"[1, 1, 0, 0]",(0.7676244000054377-3.5234360858614355j)
"[1, 1, 1, 1]",(0.7663198642297567+0.7544279172621458j)
"[1, 1, 1, 1]",(0.878055495443547+1.1455872945498888j)
"[0, 1, 0, 0]",(-1.8083590796576083-3.02982278478197j)
"[0, 0, 1, 0]",(-2.8664987393371986+1.8431687860287749j)
"[0, 1, 0, 1]",(-0.5370901614027497-0.6696434233254986j)
"[1, 0, 1, 0]",(2.998148540565845+3.0714558503844023j)
"[0, 0, 0, 1]",(-3.0083497010663227-0.823675362005573j)
"[0, 1, 0, 0]",(-0.603372251228125-3.2584194549308267j)
"[0, 1, 0, 1]",(-0.4535544361316428-0.9537102780911386j)
"[0, 1, 0, 1]",(-0.6495633481226799-1.47406294331144j)
"[0, 1, 1, 0]",(-0.2950767930683216+2.834951569877074j)
"[1, 0, 1, 1]",(3.1335873429829313+0.4679772896799662j)
"[1, 0, 1, 0]",(3.093684985286814+3.1837321602069952j)
"[0, 0, 0, 1]",(-2.5315021852370925-0.7955995423969531j)
"[1, 0, 1, 1]",(2.270434168105848+0.3926717198932238j)
"[0, 0, 1, 1]",(-3.0705734382441756+0.7921863721032585j)
"[0, 0, 1, 0]",(-2.559698063626932+2.7851485114973222j)
"[0, 0, 1, 1]",(-2.8611170607085743+1.1078952479275543j)
"[0, 0, 1, 1]",(-2.729683695294669+0.330177277450143j)
"[0, 0, 1, 1]",(-3.288355829992163+0.8520948147645957j)
"[1, 1, 1, 1]",(1.127414281662796+1.6712643403098921j)
"[0, 1, 0, 0]",(-0.8437511177642372-3.037862463110069j)
"[0, 1, 0, 1]",(-0.8911069033626451-0.9039772846729865j)
"[0, 1, 1, 1]",(-1.4637519808181234+0.4926161073285915j)
"[0, 1, 1, 0]",(-0.847829617639584+2.8045192415414357j)
"[0, 1, 1, 1]",(-0.010310286960587112+0.933336494514187j)
"[1, 0, 1, 0]",(2.7513628555978062+3.503435548326606j)
"[1, 0, 0, 1]",(2.2918877921394687-0.7319224719769931j)
"[0, 0, 1, 0]",(-3.4286056789320347+2.833168136937233j)
"[1, 0, 1, 1]",(2.3678999381579615+0.8520001928876769j)
"[1, 1, 0, 1]",(0.8439657972817283-1.2345103775553554j)
"[0, 1, 0, 0]",(-1.0185231585979184-3.2483872814046126j)
"[0, 0, 1, 1]",(-3.343468799782282+1.1058666953091867j)
"[1, 1, 1, 1]",(1.3123146561559127+0.9980623979306077j)
"[0, 0, 1, 0]",(-2.9280534833176723+3.757385085278457j)
"[1, 0, 1, 0]",(2.779982418672808+3.3933727511331866j)
"[1, 1, 1, 1]",(1.5878475118270101+0.49489414733312675j)
"[0, 1, 0, 0]",(-1.3120209350892773-3.3615021765578184j)
"[1, 0, 1, 1]",(2.8100519996078153+1.8656492885185485j)
"[0, 0, 1, 0]",(-3.50781271301452+3.577784859611564j)
"[1, 0, 1, 0]",(3.1936851294444986+2.8971112476990983j)
"[1, 1, 0, 1]",(1.089022793413756-0.5004877966129191j)
"[0, 0, 0, 0]",(-3.049824572291579-2.55460327447473j)
"[1, 1, 1, 1]",(0.9535808417085146+0.7477621888521576j)
"[1, 1, 0, 0]",(0.704213514168849-2.7633177947750998j)
"[1, 1, 1, 0]",(1.0068887062502536+2.59473856538659j)
"[0, 0, 1, 0]",(-3.622607366113507+3.0918266269261876j)
"[1, 0, 1, 1]",(3.101624758264997+0.6846459580119595j)
"[0, 0, 0, 1]",(-3.0961691837404475-0.7059436184199971j)
"[0, 0, 1, 1]",(-2.8956105361750755+1.3273613200026617j)
"[0, 1, 0, 1]",(-1.135366101529522-1.1082450669898736j)
"[1, 1, 1, 1]",(1.5606906498726498+0.9270931521881316j)
"[0, 0, 1, 1]",(-2.4962991040016274+1.3438679122838717j)
"[1, 1, 1, 0]",(0.7660334697325102+3.0380995941262747j)
"[1, 1, 0, 0]",(0.16894415712011757-3.4629829706007462j)
"[1, 1, 0, 0]",(0.738577776583117-2.7765651689073327j)
"[0, 0, 1, 1]",(-3.027673170376748+1.0554326343060971j)
"[0, 1, 0, 1]",(-1.5796790200318138-0.6656932757660912j)
"[1, 1, 0, 0]",(0.6530819218274255-3.112848866861707j)
"[0, 1, 0, 1]",(-1.289049160986436-0.5294932311247439j)
"[0, 1, 1, 0]",(-0.698925063333612+3.721664345939217j)
"[0, 1, 1, 1]",(-0.13782430905921716+1.2639293467932702j)
"[0, 0, 1, 1]",(-2.5948343903860427+0.48224175324122354j)
"[0, 1, 0, 0]",(0.06334353546776827-2.4053420963988597j)
"[0, 0, 0, 1]",(-2.020244728982247-1.2520365175753632j)
"[0, 1, 0, 0]",(-1.1998997188492044-3.080404243997619j)
"[0, 0, 0, 0]",(-2.4289830865152933-2.2736789723558037j)
"[1, 0, 1, 1]",(3.1709839385419003+1.502471913198392j)
"[0, 0, 0, 0]",(-2.753859018364054-3.1869276118622647j)
"[0, 1, 1, 1]",(-1.0932299572302329+0.42244964555416364j)
"[1, 0, 1, 1]",(3.1991865875750434+0.590976183485982j)
"[1, 1, 1, 1]",(1.5264803130256936+1.0532813165240262j)
"[0, 1, 1, 0]",(-0.8468830553302021+3.1297551450657406j)
"[0, 0, 1, 1]",(-3.7333311654661+0.34380071538471324j)
"[0, 0, 1, 1]",(-3.176629153608751-7.592360923092123e-05j)
"[1, 1, 0, 0]",(1.341125123196745-3.118261614515982j)
"[0, 1, 1, 0]",(-0.705509221894288+3.0632053418968397j)
"[1, 1, 0, 1]",(1.2797946360157775-1.2282210182860407j)
"[1, 0, 1, 1]",(2.4150466943036104+0.6551461583781435j)
"[1, 1, 0, 1]",(0.914896261311394-0.7735154187057431j)
"[1, 0, 0, 1]",(2.939110814417049-1.514257141494372j)
"[1, 0, 0, 1]",(3.4373038477163567-0.9951555336049712j)
